data_Mes_Ano,listing_id,preco,host_id
2018-12,18629340.678146247,168.76,68657927.96903118
2019-01,17556438.24830959,159.46,65806559.645071074
2019-02,17019987.81000636,150.39,61528907.52940919
2019-03,16297880.971056242,156.31,60618225.24651397
2019-04,15877264.873465855,159.98,59503520.718668364
2019-05,15745915.407484617,161.85,58053554.799529836
2019-06,14951908.03614135,171.77,57786978.68678163
2019-07,14292312.991263127,167.94,54624698.46535887
2019-08,14136095.660023183,163.5,53086237.19042436
2019-09,13991195.910967313,168.35,53490345.92687926
2019-10,13858885.279799307,168.35,51816469.995272286
2019-11,13896220.291532537,165.11,51866248.92390377
2019-12,13895693.931605162,172.24,51780159.153449856
2021-12,17436005.084834687,122.86,53657682.36135266
2022-01,17443596.608566515,121.85,53787408.761976145
2022-02,17443639.494174514,120.16,53787408.761976145
2022-03,17443408.981796995,121.69,53787408.761976145
2022-04,17443409.607225604,123.85,53787408.761976145
2022-05,17443521.55829522,124.46,53787408.761976145
2022-06,17443740.345230594,127.76,53786918.61275133
2022-07,17443736.48491698,126.58,53786428.49547054
2022-08,17443586.393461343,124.99,53786428.49547054
2022-09,17443993.511128407,128.18,53786428.49547054
2022-10,17444149.22441767,128.23,53786428.49547054
2022-11,17444129.213211566,126.07,53786428.49547054
2022-12,17467444.4665705,128.27,54202804.75668222
